ODS,Year,Q,Variable,Value
RAE,2017,Q4,General and Accute - Occupied,485
RBL,2017,Q4,General and Accute - Available,731
RBL,2017,Q4,General and Accute - Occupied,657
RBN,2017,Q4,General and Accute - Available,681
RBN,2017,Q4,General and Accute - Occupied,654
RBQ,2017,Q4,General and Accute - Available,145
RBQ,2017,Q4,General and Accute - Occupied,128
RBS,2017,Q4,General and Accute - Available,227
RBS,2017,Q4,General and Accute - Occupied,189
RBT,2017,Q4,General and Accute - Available,546
RBT,2017,Q4,General and Accute - Occupied,479
RBV,2017,Q4,General and Accute - Available,176
RBV,2017,Q4,General and Accute - Occupied,160
RCB,2017,Q4,General and Accute - Available,1017
RCB,2017,Q4,General and Accute - Occupied,973
RCD,2017,Q4,General and Accute - Available,319
RCD,2017,Q4,General and Accute - Occupied,283
RCF,2017,Q4,General and Accute - Available,352
RCF,2017,Q4,General and Accute - Occupied,315
RCU,2017,Q4,General and Accute - Available,140
RCU,2017,Q4,General and Accute - Occupied,100
RE9,2017,Q4,General and Accute - Available,312
RE9,2017,Q4,General and Accute - Occupied,280
REM,2017,Q4,General and Accute - Available,743
REM,2017,Q4,General and Accute - Occupied,688
REN,2017,Q4,General and Accute - Available,74
REN,2017,Q4,General and Accute - Occupied,51
REP,2017,Q4,General and Accute - Available,32
REP,2017,Q4,General and Accute - Occupied,19
RET,2017,Q4,General and Accute - Available,170
RET,2017,Q4,General and Accute - Occupied,148
RFF,2017,Q4,General and Accute - Available,351
RFF,2017,Q4,General and Accute - Occupied,335
RFR,2017,Q4,General and Accute - Available,454
RFR,2017,Q4,General and Accute - Occupied,424
RGD,2017,Q4,General and Accute - Available,
RGD,2017,Q4,General and Accute - Occupied,
RHQ,2017,Q4,General and Accute - Available,1570
RHQ,2017,Q4,General and Accute - Occupied,1495
RJL,2017,Q4,General and Accute - Available,762
RJL,2017,Q4,General and Accute - Occupied,663
RJN,2017,Q4,General and Accute - Available,338
RJN,2017,Q4,General and Accute - Occupied,302
RJR,2017,Q4,General and Accute - Available,514
RJR,2017,Q4,General and Accute - Occupied,490
RLN,2017,Q4,General and Accute - Available,726
RLN,2017,Q4,General and Accute - Occupied,636
RM2,2017,Q4,General and Accute - Available,775
RM2,2017,Q4,General and Accute - Occupied,689
RM3,2017,Q4,General and Accute - Available,753
RM3,2017,Q4,General and Accute - Occupied,711
RMC,2017,Q4,General and Accute - Available,599
RMC,2017,Q4,General and Accute - Occupied,534
RMP,2017,Q4,General and Accute - Available,482
RMP,2017,Q4,General and Accute - Occupied,441
RNL,2017,Q4,General and Accute - Available,547
RNL,2017,Q4,General and Accute - Occupied,496
RNN,2017,Q4,General and Accute - Available,
RNN,2017,Q4,General and Accute - Occupied,
RP5,2017,Q4,General and Accute - Available,849
RP5,2017,Q4,General and Accute - Occupied,726
RQ6,2017,Q4,General and Accute - Available,805
RQ6,2017,Q4,General and Accute - Occupied,761
RR7,2017,Q4,General and Accute - Available,492
RR7,2017,Q4,General and Accute - Occupied,467
