ODS,Year,Q,Variable,Value
RQ8,2014,Q1,General and Accute - Available,497
RQ8,2014,Q1,General and Accute - Occupied,478
RRD,2014,Q1,General and Accute - Available,
RRD,2014,Q1,General and Accute - Occupied,
RWN,2014,Q1,General and Accute - Available,74
RWN,2014,Q1,General and Accute - Occupied,72
RC1,2014,Q1,General and Accute - Available,335
RC1,2014,Q1,General and Accute - Occupied,323
RC9,2014,Q1,General and Accute - Available,548
RC9,2014,Q1,General and Accute - Occupied,485
RD8,2014,Q1,General and Accute - Available,408
RD8,2014,Q1,General and Accute - Occupied,393
RNQ,2014,Q1,General and Accute - Available,497
RNQ,2014,Q1,General and Accute - Occupied,468
RNS,2014,Q1,General and Accute - Available,666
RNS,2014,Q1,General and Accute - Occupied,594
RP1,2014,Q1,General and Accute - Available,124
RP1,2014,Q1,General and Accute - Occupied,118
RWG,2014,Q1,General and Accute - Available,667
RWG,2014,Q1,General and Accute - Occupied,591
RWH,2014,Q1,General and Accute - Available,649
RWH,2014,Q1,General and Accute - Occupied,557
RWR,2014,Q1,General and Accute - Available,
RWR,2014,Q1,General and Accute - Occupied,
RY4,2014,Q1,General and Accute - Available,227
RY4,2014,Q1,General and Accute - Occupied,207
RP7,2014,Q1,General and Accute - Available,
RP7,2014,Q1,General and Accute - Occupied,
RT5,2014,Q1,General and Accute - Available,
RT5,2014,Q1,General and Accute - Occupied,
RWD,2014,Q1,General and Accute - Available,1316
RWD,2014,Q1,General and Accute - Occupied,1271
RWE,2014,Q1,General and Accute - Available,1523
RWE,2014,Q1,General and Accute - Occupied,1333
RY5,2014,Q1,General and Accute - Available,60
RY5,2014,Q1,General and Accute - Occupied,49
R1E,2014,Q1,General and Accute - Available,293
R1E,2014,Q1,General and Accute - Occupied,278
RJD,2014,Q1,General and Accute - Available,336
RJD,2014,Q1,General and Accute - Occupied,332
RJE,2014,Q1,General and Accute - Available,1049
RJE,2014,Q1,General and Accute - Occupied,1007
RJF,2014,Q1,General and Accute - Available,451
RJF,2014,Q1,General and Accute - Occupied,389
RL1,2014,Q1,General and Accute - Available,185
RL1,2014,Q1,General and Accute - Occupied,145
RLY,2014,Q1,General and Accute - Available,
RLY,2014,Q1,General and Accute - Occupied,
RRE,2014,Q1,General and Accute - Available,
RRE,2014,Q1,General and Accute - Occupied,
RXW,2014,Q1,General and Accute - Available,713
RXW,2014,Q1,General and Accute - Occupied,645
R1J,2014,Q1,General and Accute - Available,51
R1J,2014,Q1,General and Accute - Occupied,49
RBB,2014,Q1,General and Accute - Available,14
RBB,2014,Q1,General and Accute - Occupied,9
RD1,2014,Q1,General and Accute - Available,605
RD1,2014,Q1,General and Accute - Occupied,562
RN3,2014,Q1,General and Accute - Available,560
RN3,2014,Q1,General and Accute - Occupied,524
RNZ,2014,Q1,General and Accute - Available,451
RNZ,2014,Q1,General and Accute - Occupied,391
RTE,2014,Q1,General and Accute - Available,925
RTE,2014,Q1,General and Accute - Occupied,845
RTQ,2014,Q1,General and Accute - Available,
RTQ,2014,Q1,General and Accute - Occupied,
RVN,2014,Q1,General and Accute - Available,
RVN,2014,Q1,General and Accute - Occupied,
RA3,2014,Q1,General and Accute - Available,262
RA3,2014,Q1,General and Accute - Occupied,232
RA4,2014,Q1,General and Accute - Available,355
RA4,2014,Q1,General and Accute - Occupied,274
RA7,2014,Q1,General and Accute - Available,728
RA7,2014,Q1,General and Accute - Occupied,640
RBA,2014,Q1,General and Accute - Available,564
RBA,2014,Q1,General and Accute - Occupied,452
RH5,2014,Q1,General and Accute - Available,279
RH5,2014,Q1,General and Accute - Occupied,236
RVJ,2014,Q1,General and Accute - Available,949
RVJ,2014,Q1,General and Accute - Occupied,805
RA9,2014,Q1,General and Accute - Available,423
RA9,2014,Q1,General and Accute - Occupied,356
RBZ,2014,Q1,General and Accute - Available,304
RBZ,2014,Q1,General and Accute - Occupied,272
REF,2014,Q1,General and Accute - Available,688
REF,2014,Q1,General and Accute - Occupied,592
RH8,2014,Q1,General and Accute - Available,754
RH8,2014,Q1,General and Accute - Occupied,661
RJ8,2014,Q1,General and Accute - Available,
RJ8,2014,Q1,General and Accute - Occupied,
RK9,2014,Q1,General and Accute - Available,824
RK9,2014,Q1,General and Accute - Occupied,692
RWV,2014,Q1,General and Accute - Available,
RWV,2014,Q1,General and Accute - Occupied,
RN7,2014,Q1,General and Accute - Available,491
RN7,2014,Q1,General and Accute - Occupied,476
RPA,2014,Q1,General and Accute - Available,516
RPA,2014,Q1,General and Accute - Occupied,477
RVV,2014,Q1,General and Accute - Available,969
RVV,2014,Q1,General and Accute - Occupied,881
RWF,2014,Q1,General and Accute - Available,655
RWF,2014,Q1,General and Accute - Occupied,611
RXY,2014,Q1,General and Accute - Available,8
RXY,2014,Q1,General and Accute - Occupied,7
RA2,2014,Q1,General and Accute - Available,456
RA2,2014,Q1,General and Accute - Occupied,395
RDR,2014,Q1,General and Accute - Available,123
RDR,2014,Q1,General and Accute - Occupied,108
RDU,2014,Q1,General and Accute - Available,581
RDU,2014,Q1,General and Accute - Occupied,540
RPC,2014,Q1,General and Accute - Available,53
RPC,2014,Q1,General and Accute - Occupied,40
RTK,2014,Q1,General and Accute - Available,490
RTK,2014,Q1,General and Accute - Occupied,445
RTP,2014,Q1,General and Accute - Available,563
RTP,2014,Q1,General and Accute - Occupied,514
RX2,2014,Q1,General and Accute - Available,
RX2,2014,Q1,General and Accute - Occupied,
RXC,2014,Q1,General and Accute - Available,732
RXC,2014,Q1,General and Accute - Occupied,568
RXH,2014,Q1,General and Accute - Available,779
RXH,2014,Q1,General and Accute - Occupied,670
RXX,2014,Q1,General and Accute - Available,
RXX,2014,Q1,General and Accute - Occupied,
RYR,2014,Q1,General and Accute - Available,880
RYR,2014,Q1,General and Accute - Occupied,844
RD7,2014,Q1,General and Accute - Available,622
RD7,2014,Q1,General and Accute - Occupied,569
RHW,2014,Q1,General and Accute - Available,616
RHW,2014,Q1,General and Accute - Occupied,544
RNU,2014,Q1,General and Accute - Available,125
RNU,2014,Q1,General and Accute - Occupied,118
RTH,2014,Q1,General and Accute - Available,1347
RTH,2014,Q1,General and Accute - Occupied,1266
RWX,2014,Q1,General and Accute - Available,46
RWX,2014,Q1,General and Accute - Occupied,41
RXQ,2014,Q1,General and Accute - Available,690
RXQ,2014,Q1,General and Accute - Occupied,647
R1C,2014,Q1,General and Accute - Available,57
R1C,2014,Q1,General and Accute - Occupied,49
R1F,2014,Q1,General and Accute - Available,273
R1F,2014,Q1,General and Accute - Occupied,196
RBD,2014,Q1,General and Accute - Available,289
RBD,2014,Q1,General and Accute - Occupied,249
RD3,2014,Q1,General and Accute - Available,474
RD3,2014,Q1,General and Accute - Occupied,435
RDY,2014,Q1,General and Accute - Available,
RDY,2014,Q1,General and Accute - Occupied,
RDZ,2014,Q1,General and Accute - Available,575
RDZ,2014,Q1,General and Accute - Occupied,535
RHM,2014,Q1,General and Accute - Available,1087
RHM,2014,Q1,General and Accute - Occupied,998
RHU,2014,Q1,General and Accute - Available,940
RHU,2014,Q1,General and Accute - Occupied,867
RN5,2014,Q1,General and Accute - Available,929
RN5,2014,Q1,General and Accute - Occupied,674
RW1,2014,Q1,General and Accute - Available,58
RW1,2014,Q1,General and Accute - Occupied,57
R1H,2014,Q1,General and Accute - Available,1742
R1H,2014,Q1,General and Accute - Occupied,1644
RAL,2014,Q1,General and Accute - Available,484
RAL,2014,Q1,General and Accute - Occupied,402
RAN,2014,Q1,General and Accute - Available,193
RAN,2014,Q1,General and Accute - Occupied,125
RAP,2014,Q1,General and Accute - Available,441
RAP,2014,Q1,General and Accute - Occupied,408
RAS,2014,Q1,General and Accute - Available,409
RAS,2014,Q1,General and Accute - Occupied,363
RAT,2014,Q1,General and Accute - Available,203
RAT,2014,Q1,General and Accute - Occupied,173
RAX,2014,Q1,General and Accute - Available,376
RAX,2014,Q1,General and Accute - Occupied,346
RC3,2014,Q1,General and Accute - Available,444
RC3,2014,Q1,General and Accute - Occupied,409
RF4,2014,Q1,General and Accute - Available,961
RF4,2014,Q1,General and Accute - Occupied,899
RFW,2014,Q1,General and Accute - Available,330
RFW,2014,Q1,General and Accute - Occupied,301
RJ1,2014,Q1,General and Accute - Available,986
RJ1,2014,Q1,General and Accute - Occupied,807
RJ2,2014,Q1,General and Accute - Available,798
RJ2,2014,Q1,General and Accute - Occupied,742
RJ6,2014,Q1,General and Accute - Available,477
RJ6,2014,Q1,General and Accute - Occupied,427
RJ7,2014,Q1,General and Accute - Available,853
RJ7,2014,Q1,General and Accute - Occupied,800
RJZ,2014,Q1,General and Accute - Available,1314
RJZ,2014,Q1,General and Accute - Occupied,1264
RKE,2014,Q1,General and Accute - Available,254
RKE,2014,Q1,General and Accute - Occupied,219
RKL,2014,Q1,General and Accute - Available,
RKL,2014,Q1,General and Accute - Occupied,
RP4,2014,Q1,General and Accute - Available,326
RP4,2014,Q1,General and Accute - Occupied,298
RP6,2014,Q1,General and Accute - Available,8
RP6,2014,Q1,General and Accute - Occupied,4
RPG,2014,Q1,General and Accute - Available,
RPG,2014,Q1,General and Accute - Occupied,
RPY,2014,Q1,General and Accute - Available,191
RPY,2014,Q1,General and Accute - Occupied,162
RQM,2014,Q1,General and Accute - Available,397
RQM,2014,Q1,General and Accute - Occupied,327
RQX,2014,Q1,General and Accute - Available,390
RQX,2014,Q1,General and Accute - Occupied,329
RQY,2014,Q1,General and Accute - Available,
RQY,2014,Q1,General and Accute - Occupied,
RRP,2014,Q1,General and Accute - Available,
RRP,2014,Q1,General and Accute - Occupied,
RRV,2014,Q1,General and Accute - Available,874
RRV,2014,Q1,General and Accute - Occupied,682
RT3,2014,Q1,General and Accute - Available,400
RT3,2014,Q1,General and Accute - Occupied,340
RV3,2014,Q1,General and Accute - Available,73
RV3,2014,Q1,General and Accute - Occupied,67
RV5,2014,Q1,General and Accute - Available,
RV5,2014,Q1,General and Accute - Occupied,
RV8,2014,Q1,General and Accute - Available,741
RV8,2014,Q1,General and Accute - Occupied,632
RVL,2014,Q1,General and Accute - Available,566
RVL,2014,Q1,General and Accute - Occupied,433
RVR,2014,Q1,General and Accute - Available,758
RVR,2014,Q1,General and Accute - Occupied,634
RWK,2014,Q1,General and Accute - Available,61
RWK,2014,Q1,General and Accute - Occupied,35
RYJ,2014,Q1,General and Accute - Available,918
RYJ,2014,Q1,General and Accute - Occupied,834
RYX,2014,Q1,General and Accute - Available,247
RYX,2014,Q1,General and Accute - Occupied,213
TAF,2014,Q1,General and Accute - Available,
TAF,2014,Q1,General and Accute - Occupied,
RBL,2014,Q2,General and Accute - Available,718
RBL,2014,Q2,General and Accute - Occupied,613
RBT,2014,Q2,General and Accute - Available,514
RBT,2014,Q2,General and Accute - Occupied,471
REN,2014,Q2,General and Accute - Available,73
REN,2014,Q2,General and Accute - Occupied,43
RJN,2014,Q2,General and Accute - Available,336
RJN,2014,Q2,General and Accute - Occupied,314
RJR,2014,Q2,General and Accute - Available,511
RJR,2014,Q2,General and Accute - Occupied,483
RTV,2014,Q2,General and Accute - Available,
RTV,2014,Q2,General and Accute - Occupied,
RWW,2014,Q2,General and Accute - Available,531
RWW,2014,Q2,General and Accute - Occupied,464
RXA,2014,Q2,General and Accute - Available,
RXA,2014,Q2,General and Accute - Occupied,
RTR,2014,Q2,General and Accute - Available,1078
RTR,2014,Q2,General and Accute - Occupied,846
RVW,2014,Q2,General and Accute - Available,582
RVW,2014,Q2,General and Accute - Occupied,502
RX3,2014,Q2,General and Accute - Available,
RX3,2014,Q2,General and Accute - Occupied,
RXP,2014,Q2,General and Accute - Available,1105
RXP,2014,Q2,General and Accute - Occupied,881
RBV,2014,Q2,General and Accute - Available,172
RBV,2014,Q2,General and Accute - Occupied,143
RM2,2014,Q2,General and Accute - Available,794
RM2,2014,Q2,General and Accute - Occupied,674
RM3,2014,Q2,General and Accute - Available,694
RM3,2014,Q2,General and Accute - Occupied,621
RMC,2014,Q2,General and Accute - Available,580
RMC,2014,Q2,General and Accute - Occupied,488
RMP,2014,Q2,General and Accute - Available,446
RMP,2014,Q2,General and Accute - Occupied,401
RRF,2014,Q2,General and Accute - Available,462
RRF,2014,Q2,General and Accute - Occupied,393
RT2,2014,Q2,General and Accute - Available,106
RT2,2014,Q2,General and Accute - Occupied,87
RW3,2014,Q2,General and Accute - Available,1114
RW3,2014,Q2,General and Accute - Occupied,1005
RW6,2014,Q2,General and Accute - Available,1169
RW6,2014,Q2,General and Accute - Occupied,1001
RWJ,2014,Q2,General and Accute - Available,674
RWJ,2014,Q2,General and Accute - Occupied,572
RXV,2014,Q2,General and Accute - Available,
RXV,2014,Q2,General and Accute - Occupied,
TAE,2014,Q2,General and Accute - Available,
TAE,2014,Q2,General and Accute - Occupied,
RJX,2014,Q2,General and Accute - Available,
RJX,2014,Q2,General and Accute - Occupied,
RW5,2014,Q2,General and Accute - Available,
RW5,2014,Q2,General and Accute - Occupied,
RXL,2014,Q2,General and Accute - Available,777
RXL,2014,Q2,General and Accute - Occupied,659
RXN,2014,Q2,General and Accute - Available,823
RXN,2014,Q2,General and Accute - Occupied,775
RXR,2014,Q2,General and Accute - Available,863
RXR,2014,Q2,General and Accute - Occupied,745
RBN,2014,Q2,General and Accute - Available,660
RBN,2014,Q2,General and Accute - Occupied,609
RBQ,2014,Q2,General and Accute - Available,154
RBQ,2014,Q2,General and Accute - Occupied,119
RBS,2014,Q2,General and Accute - Available,191
RBS,2014,Q2,General and Accute - Occupied,161
REM,2014,Q2,General and Accute - Available,668
REM,2014,Q2,General and Accute - Occupied,619
REP,2014,Q2,General and Accute - Available,35
REP,2014,Q2,General and Accute - Occupied,22
RET,2014,Q2,General and Accute - Available,159
RET,2014,Q2,General and Accute - Occupied,132
RQ6,2014,Q2,General and Accute - Available,768
RQ6,2014,Q2,General and Accute - Occupied,724
RVY,2014,Q2,General and Accute - Available,440
RVY,2014,Q2,General and Accute - Occupied,377
RW4,2014,Q2,General and Accute - Available,
RW4,2014,Q2,General and Accute - Occupied,
RE9,2014,Q2,General and Accute - Available,341
RE9,2014,Q2,General and Accute - Occupied,300
RLN,2014,Q2,General and Accute - Available,784
RLN,2014,Q2,General and Accute - Occupied,610
RNL,2014,Q2,General and Accute - Available,573
RNL,2014,Q2,General and Accute - Occupied,483
RNN,2014,Q2,General and Accute - Available,
RNN,2014,Q2,General and Accute - Occupied,
RR7,2014,Q2,General and Accute - Available,440
RR7,2014,Q2,General and Accute - Occupied,409
RTD,2014,Q2,General and Accute - Available,1480
RTD,2014,Q2,General and Accute - Occupied,1235
RTF,2014,Q2,General and Accute - Available,970
RTF,2014,Q2,General and Accute - Occupied,806
RTX,2014,Q2,General and Accute - Available,703
RTX,2014,Q2,General and Accute - Occupied,573
RX4,2014,Q2,General and Accute - Available,53
RX4,2014,Q2,General and Accute - Occupied,48
RCB,2014,Q2,General and Accute - Available,956
RCB,2014,Q2,General and Accute - Occupied,850
RCD,2014,Q2,General and Accute - Available,301
RCD,2014,Q2,General and Accute - Occupied,243
RJL,2014,Q2,General and Accute - Available,755
RJL,2014,Q2,General and Accute - Occupied,623
RV9,2014,Q2,General and Accute - Available,
RV9,2014,Q2,General and Accute - Occupied,
RWA,2014,Q2,General and Accute - Available,997
RWA,2014,Q2,General and Accute - Occupied,922
RCU,2014,Q2,General and Accute - Available,125
