ODS,Cleanliness,Food,Organisation Food,Ward Food,"Privacy, Dignity and Wellbeing",Condition Appearance and Maintenance,Dementia,Disability
RW1,96.35%,89.18%,85.83%,91.93%,87.82%,90.25%,77.35%,86.45%
RVY,97.01%,77.48%,71.19%,79.75%,69.66%,86.32%,58.37%,59.20%
RJ7,98.04%,90.36%,82.04%,92.18%,81.75%,91.17%,75.84%,74.55%
RBN,100.00%,97.42%,93.41%,99.98%,98.14%,99.86%,96.92%,99.76%
R1E,99.86%,91.38%,80.28%,98.74%,89.62%,97.39%,88.72%,92.39%
RWJ,97.56%,87.49%,93.81%,85.82%,83.33%,92.63%,64.67%,72.49%
RXX,97.82%,87.61%,86.32%,90.06%,86.78%,91.72%,89.94%,90.18%
RTP,99.69%,89.26%,89.13%,89.28%,80.76%,94.53%,75.97%,82.77%
RDR,99.36%,94.60%,92.52%,96.01%,84.01%,94.28%,80.14%,89.67%
RX2,98.04%,87.94%,84.50%,92.65%,89.08%,94.79%,91.33%,86.36%
RMP,98.83%,90.41%,91.78%,89.88%,82.02%,93.71%,80.85%,84.44%
RBA,97.09%,95.74%,93.13%,96.55%,93.74%,92.01%,96.25%,92.40%
RX3,92.85%,92.41%,84.85%,96.95%,85.33%,89.91%,78.19%,73.98%
RBV,99.65%,99.50%,99.16%,99.65%,95.83%,97.98%,91.40%,95.31%
RNA,98.85%,83.95%,92.18%,82.02%,88.64%,96.35%,85.45%,92.28%
RAS,98.92%,96.45%,100.00%,95.40%,84.39%,88.74%,71.92%,81.52%
RJ2,98.05%,89.99%,87.83%,90.67%,80.61%,94.24%,79.15%,85.03%
RBT,98.39%,92.73%,93.23%,92.89%,83.44%,93.89%,72.07%,74.12%
RTD,99.95%,86.97%,89.82%,86.48%,88.63%,97.60%,69.37%,83.50%
RQW,96.47%,91.87%,89.31%,93.11%,87.71%,94.67%,76.06%,85.79%
RCX,97.53%,83.05%,79.63%,84.20%,67.86%,87.22%,70.14%,71.51%
RFR,97.04%,85.48%,88.21%,84.77%,80.99%,91.86%,66.67%,74.60%
RDZ,97.78%,86.96%,93.86%,85.69%,87.77%,96.78%,87.01%,91.96%
RPY,99.79%,95.45%,97.50%,95.07%,90.64%,97.43%,84.64%,91.41%
RL4,99.07%,94.39%,95.90%,93.92%,81.84%,93.60%,82.16%,84.12%
RKE,97.50%,90.06%,94.66%,88.84%,89.18%,94.56%,89.37%,91.27%
RA9,99.82%,92.87%,92.27%,93.36%,91.84%,97.87%,87.07%,95.63%
RWD,93.84%,89.68%,93.26%,88.89%,78.12%,88.70%,70.13%,78.43%
